Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Donauwörth;2020-12-08;1;95700;497;2020-12-08 09:00:00;2020-12-08 15:30:00;31;37000;33300;2020-11-17 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Erharting;2020-12-08;1;95700;498;2020-12-08 09:00:00;2020-12-08 15:30:00;29;37000;33300;2020-11-17 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Garmisch Patenkirchen;2020-12-08;1;95700;499;2020-12-08 09:00:00;2020-12-08 15:30:00;30;37000;33300;2020-11-17 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Hof;2020-12-08;1;95700;500;2020-12-08 09:00:00;2020-12-08 15:30:00;32;37000;33300;2020-11-17 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Ingolstadt;2020-12-09;1;95700;501;2020-12-09 09:00:00;2020-12-09 15:30:00;43;37000;33300;2020-11-18 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Kempten;2020-12-09;1;95700;502;2020-12-09 09:00:00;2020-12-09 15:30:00;27;37000;33300;2020-11-18 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Landshut;2020-12-09;1;95700;503;2020-12-09 09:00:00;2020-12-09 15:30:00;41;37000;33300;2020-11-18 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Lohr am Main;2020-12-09;1;95700;504;2020-12-09 09:00:00;2020-12-09 15:30:00;26;37000;33300;2020-11-18 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Memmingen;2020-12-09;1;95700;505;2020-12-09 09:00:00;2020-12-09 15:30:00;23;37000;33300;2020-11-18 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;München;2020-12-09;1;95700;506;2020-12-09 09:00:00;2020-12-09 15:30:00;22;37000;33300;2020-11-18 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Nürnberg;2020-12-09;1;95700;507;2020-12-09 09:00:00;2020-12-09 15:30:00;24;37000;33300;2020-11-18 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Passau;2020-12-10;1;95700;508;2020-12-10 09:00:00;2020-12-10 15:30:00;42;37000;33300;2020-11-19 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Regensburg;2020-12-10;1;95700;509;2020-12-10 09:00:00;2020-12-10 15:30:00;25;37000;33300;2020-11-19 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Rosenheim;2020-12-10;1;95700;510;2020-12-10 09:00:00;2020-12-10 15:30:00;28;37000;33300;2020-11-19 00:00:00
Professionell und serviceorientiert Telefonieren – ein Leitfaden für Verwaltungen;Süd;Bayern;;Schwandorf;2020-12-10;1;95700;511;2020-12-10 09:00:00;2020-12-10 15:30:00;39;37000;33300;2020-11-19 00:00:00
